Model,Accuracy,Precision,Recall,F1,ROC AUC
Logistic Regression,0.7924662402274343,0.6339869281045751,0.5187165775401069,0.5705882352941176,0.8345830895941937
Random Forest,0.7782515991471215,0.6033333333333334,0.4839572192513369,0.5370919881305638,0.8146706803816308
Tuned Random Forest,0.7889125799573561,0.6652360515021459,0.4144385026737968,0.5107084019769358,0.8351797112403
